tel- fragment,French abstract,English abstract
tel-01330152,"Dans cette thèse, nous proposons une approche originale pour l’extraction de modèles de connaissances de ces deux catégories en minimisant l’utilisation des ressources. Les modèles extraits, basés sur la théories des itemsets fermés fréquents et des listes d’objets support, sont utilisés pour construire des représentations conceptuelles minimales de règles d’association et de classification, et de bi-clusters. Ils étendent les modèles classiques de règles d’association et classification, ainsi que de bi-clusters, en fournissant à l’utilisateur davantage d’informations découlant des listes d’objets supportant chaque modèle. Ces modèles sont générés à partir des ensembles de générateurs, ou itemsets-clé, d’itemsets fermés fréquents et de la structure hiérarchique conceptuelle induite par les générateurs, les fermés fréquents et les listes d’objets support. L’approche proposée, nommée FIST pour Frequent Itemset mining using Suffix-Trees, utilise une nouvelle structure de données basée sur les arbres suffixés qui permet le stockage efficace des données et l’extraction de modèles de connaissance pertinents en mémoire primaire. La stratégie utilisée par FIST est basée sur la fermeture de la connexion de Galois d’une relation binaire finie qui sert également de fondement théorique en analyse de concepts formels (FCA). FIST est une approche intégrée qui combine l’extraction de générateurs, motifs fermés fréquents, règles d’association, de classification, et bi-clusters conceptuels, étendant ainsi les modèles classiques de connaissance pour une analyse conceptuelle. Aucun autre algorithme publié dans la littérature ne permet de générer les mêmes motifs que ceux générés par FIST à notre connaissance. Trois implémentations des deux différentes versions algorithmiques de FIST ont été implémentées en langage Java, choisi pour la portabilité. Ces trois implémentations ont été comparées expérimentalement sur diverses configurations matérielles afin d’évaluer avec précision les gains obtenus par les améliorations successives de l’algorithme et l’utilisation des collections de l’API Java Trove. L’approche FIST, développée pour répondre à certaines de ces problématiques, a été appliquées à l’analyse d’interactions protéomiques (PPI) entre les protéines du virus VIH-1 et de l’organisme humain. L’analyse d’interactions protéomiques est un domaine récent et complexe d’une importance majeure en bioinformatique. Les résultatsobtenus ont permi de démontrer son rôle capital pour la découverte de nouveaux traitements et la prévention de diverses types de maladies. Afin de démontrer la validité de l’approche, les connaissances déjà reportées dans la littérature du domaine qui ont été extraites avec FIST sont également présentées. Les modèles extraits par FIST pour ces données sont constitutées des bi-clusters hiérarchiques conceptuels et des couvertures minimales conceptuelles de règles d’association contenant à la fois des informations d’interactions et d’annotations biologiques conernant les protéines.","Pattern extraction is one of the major topics in the Knowledge Discovery from Data (KDD) and Background Knowledge Integration (BKI) research domains. Extracting patterns from databases, data warehouses and other kinds of data repositories is one of the most unyielding tasks. Extensively, it is subsumed as a part of the data mining task. Out of numerous data mining techniques, association rule mining and bi-clustering are two major complementary data mining tasks for relevant knowledge extraction and integration. These tasks gained much importance in many research domains in recent years. However, to the best of our knowledge, no approach was proposed to perform these two tasks in one process. In this thesis work, we propose an original approach for extracting different categories of knowledge patterns while using minimum number of resources. These patterns, based on frequent closed sets and supporting object lists, are used to construct conceptual minimal representations of association rules, bi-clusters and classification rules. They extend the classical frameworks of association and classification rules, and of bi-clusters, by providing the user with more information using the object lists associated with these patterns. These patterns are generated from the sets of generators, or key-patterns, the sets of closed patterns and the hierarchical conceptual structure induced from generators, closed patterns and supporting object lists. The proposed approach, named FIST for Frequent Itemset mining using Suffix-Trees, is based on a new suffix-tree data structure that enables the efficient storage of data and computation of relevant patterns in primary memory. The strategy used by FIST is based on the closure of the Galois Connection of a finite binary relation theory used in the Formal Concept Analysis framework. FIST is an integrated approach based on the Galois closure framework, combining the searches for generators, frequent closed itemsets, association rules, conceptual bi-clusters and classification patterns, and extending the generated patterns for conceptual analysis. Experimental results and analyses show the performances of the different versions of FISTand compare them to others state-of-the-art algorithms for association rule mining, closed pattern mining and bi-clustering. To the best of our knowledge, no algorithm in the literature produces the same output patterns as are generated by FIST. The FIST application was applied for theanalysis of a real life dataset of protein-protein interactions (PPI) between HIV-1 and Human proteins. In order to improve and extend knowledge patterns extracted from original HIV-1 and Human PPI data, we constructed three new datasets integrating the most recent biological and bibliographic annotations on proteins with PPI data. Successive experimental results for these PPI datasets, and new information discovered using the FIST approach on these datasets, are presented in this report. As proof of correctness, we have also shown that FIST successfully found the currently known information in the PPI literature. The experiments on these PPI datasets were performed by extracting with FIST the conceptual hierarchical bi-clusters and the conceptual minimal covers of association rules containing both interaction and annotation information on proteins."
tel-00628628,"
Dans cette thèse nous traitons des mots interdits minimaux, qui sont les plus petits mots qui n'apparaissent pas comme facteur d'un mot donné, et de leurs applications. Dans la première partie de la thèse nous exposons les propriétés des mots interdits minimaux, et nous considérons quelques cas particuliers, comme celui d'un mot fini, d'un ensemble fini de mots finis, et d'un langage factoriel régulier. Nous présentons aussi les procédures pour le calcul des objets considérés. Ensuite, nous généralisons les mots interdits minimaux au cas de l'existence d'une période, qui détermine les positions des occurrences des facteurs modulo un entier fixé. Ceux-ci sont appelés mots interdits minimaux périodiques. Nous étudions leurs propriétés principales et avec des algorithmes de test de ces propriétés. Dans la deuxième partie de la thèse nous montrons deux applications des mots interdits minimaux. La première est reliée aux systèmes contraints. Nous donnons une construction en temps polynomial de l'ensemble des séquences qui satisfont la contrainte définie par une liste finie de blocs interdits, avec un ensemble spécifié de positions de bit sans contrainte. Nous donnons aussi une construction en temps linéaire d'une présentation à états finis d'un système contraint défini par une liste périodique de blocs interdits. La deuxième application est relative à un problème de biologie : la reconstruction d'une séquence génomique à partir d'un ensemble de ses fragments. Nous donnons une formalisation théorique de ce problème qui le rend résoluble en temps linéaire en utilisant les mots interdits minimaux. Nous prouvons aussi que notre algorithme résout un cas particulier du ""problème de la plus petite sur-séquence"" (Shortest Superstring Problem).
","
This thesis describes the theory and some applications of minimal forbidden words, that are the most little words that do not appear as factors of a given word. In the first part of this thesis, we describe the properties of minimal forbidden words and we show some particular cases, as that of a finite word, a finite set of finite words, and a regular factorial language. We also present the procedures for the computation of the theoretical results. Then we generalize the minimal forbidden words to the case of the existence of a period, which determines the positions of occurrences of the factors modulo a fixed integer. These are called minimal periodic forbidden words. We study their basic properties and give the algorithms for the computation in the case of a finite word and of a finite set of finite words. In the second part we show two applications of minimal forbidden words. The first one is related to constrained systems. We give a polynomial-time construction of the set of sequences that satisfy a constraint defined by a finite list of forbidden blocks, with a specified set of bit positions unconstrained. We also give a linear-time construction of a finite-state presentation of a constrained system defined by a periodic list of forbidden blocks. The second one is a problem issued from biology: the reconstruction of a genomic sequence starting from a set of its fragments. We show that a theoretical formalization of this problem can be solved in linear time using minimal forbidden words. We also prove that our algorithm solves a special case of the Shortest Superstring Problem.
"
tel-03354943,"
La sclérose en plaques (SEP) est une maladie inflammatoire neurodégénérative où l’invasion des cellules immunitaires dans le système nerveux central (SNC) entraîne la destruction de la myéline. Les macrophages, comprenant les cellules microgliales du SNC, sont majoritaires dans les lésions de la SEP. Nous avons modélisé l'activation des macrophages de patients SEP afin de définir quelles propriétés intrinsèques vont diriger leur contribution au développement ou à la réparation de la lésion. Les profils fonctionnels et transcriptomiques des macrophages de donneurs sains et de patients SEP ont été examinés suite à des stimuli activateurs. Les macrophages de patients SEP reproduisent plusieurs aspects observés dans les lésions inflammatoires et présentent une amplitude de réponse plus restreinte que les macrophages de donneurs sains. Grâce à une méthode d'identification des gènes régulateurs construit à partir d’un réseau prédéfini d'interactions géniques, nous avons identifié des gènes clés, pertinents d’un point de vue biologique et pathologique, dont la modulation permettrait de modifier une grande partie du réseau dérégulés. En utilisant un modèle murin humanisé, nous avons également noté que les effets modulateurs des lymphocytes de patient SEP sur la remyélinisation se fait par l’intermédiaire du contrôle de l'activation des macrophages. Les résultats de cette thèse démontrent que la contribution des macrophages à l’environnement inflammatoire reflète l'hétérogénéité clinique des patients. Des recherches futures utilisant ces modèles pourraient être utiles à la fois pour développer de nouveaux traitements et pour prévoir les effets potentiels pour chaque patient.
","
Multiple sclerosis (MS) is an inflammatory, neurodegenerative disease in which infiltration of immune cells in the central nervous system (CNS) leads to myelin destruction. Macrophages, including the CNS-resident microglia, are prevalent in MS lesions. We propose that models of macrophage activation based on MS patient leukocytes can provide information on the intrinsic capacities of macrophages to participate to lesion formation and repair. The functional and transcriptomic profiles of MS patient and healthy control monocyte-derived macrophages were examined after exposure to activating stimuli. MS macrophages reproduced several aspects of the inflammatory lesion, and displayed a limited amplitude of response to activating stimuli. We also developed a method to identify key regulators in networks of several altered genes. This was done according to a pre-defined network of gene interactions. Testing a pro- inflammatory network for the possibility to control genes that are dysregulated in MS, we identified biologically and pathologically relevant genes as key drivers, supporting the framework of the method. Using a humanized mouse model of remyelination, we also noted that the remyelination- modulating effects of patient lymphocytes are mediated through the activation of macrophages. In conclusion, the results of this thesis provide evidence that macrophages contribute to an inflammatory environment, and that patient heterogeneity in both lymphocytes and macrophages impact this contribution. Further research using these and similar models could be useful for both developing new treatments and predicting effects for each patient.
"
tel-03035017,"Les rétrotransposons sont des éléments génétiques mobiles qui constituent presque la moitié de notre génome. Seule la sous-famille L1HS appartenant à la classe des Long Interspersed Element-1(LINE-1 ou L1) a gardé une capacité de mobilité autonome chez l’Homme. Leur mobilisation dans la lignée germinale, mais Aussi dans certains tissus somatiques, contribue à la diversité du génome humain ainsi qu’à certaines maladies comme le cancer. Ainsi, de nouvelles copies de L1 peuvent directement s'intégrer dans des séquences codantes ou régulatrices, et altérer leur fonction. De plus, les séquences L1 contiennent elles-mêmes plusieurs éléments cis-régulateurs et leur insertion à proximité ou dans un gène peut produire des altérations génétiques plus subtiles. Afin d'explorer l'ensemble de ces altérations à l'échelle du génome, nous avons développé un logiciel dédié à l’analyse des données de séquençage d'ARN qui permet d'identifier des transcrits chimériques ou antisens impliquant les L1 et d'annoter ces isoformes en fonction des différents événements d’épissage alternatif subits. Au cours de ce travail, il est apparu que la compréhension du lien entre polymorphisme des insertions et phénotype nécessite une vue complète des différentes copies L1HS présentes chez un individu donné. Afin de disposer d'un catalogue aussi complet que possible de ces polymorphismes identifiés dans des échantillons humains sains ou pathologiques et publiés dans des journaux scientifiques, nous avons développé euL1db, la base de données des insertions de rétrotransposon L1HS chez l’Homme. En conclusion, ce travail aidera à comprendre l’impact des L1 sur l’expression des gènes, à l'échelle du génome.","Retrotransposons are mobile genetics elements, which form almost half of our genome. Only the L1HS subfamily of the Long Interspersed Element-1 class (LINE-1 or L1) has retained the ability to jump autonomously in humans. Their mobilization in the germline – but also in some somatic tissues – contributes to human genetic diversity and to diseases, such as cancer. L1 reactivation can be directly mutagenic by disrupting genes or regulatory sequences. In addition, L1 sequences themselves contain many regulatory cis-elements. Thus, L1 insertions near a gene or within intronic sequences can also produce more subtle genic alterations. To explore L1-mediated genic alterations in a genome-wide manner, we have developed a dedicated RNA-seq analysis software able to identify L1 chimeric or antisense transcripts and to annotate these novel isoforms with their associated alternative splicing events. During the course of this work, it appeared that understanding the link between L1HS insertion polymorphisms and phenotype or disease requires a comprehensive view of the different L1HS copies present in a given individual or sample. To provide a comprehensive summary of L1HS insertion polymorphisms identified in healthy or pathological human samples and published in peer-reviewed journals, we developed euL1db, the European database of L1HS retrotransposon insertions in humans. This work will help understanding the overall impact of L1 insertions on gene expression, at a genome-wide scale."
tel-02088169,"Avec les nouvelles avancées en biologie et toxicologie, on constate de plus en plus la complexité des mécanismes et le grand nombre de voies de toxicité. Les concepts de ‘biologie systémique’ (SB) et de ‘voies des effets indésirables’ (adverse outcome pathway, AOP) pourraient être des outils appropriés pour l’étude de la toxicologie à ces niveaux de complexité élevés. Le point central du travail de cette thèse est le développement d’un modèle de SB du rôle de la voie de signalisation Nrf2 dans le contrôle du stress oxydant. Pour la calibration de ce modèle avec des données expérimentales (exposition des cellules rénales RPTEC/TERT1 à différentes doses de bromate de potassium), plusieurs cycles de proposition/vérification d’hypothèses ont progressivement contribué à l’ajout de nouvelles réactions. Ces nouvelles hypothèses (par exemple : action directe du bromate de potassium sur le DCF, atténuation de la fluorescence du DCF avec le temps, etc.) devraient être confirmées par de futures expérimentations. Ce modèle de SB a été ensuite utilisé pour la quantification d’un AOP de l’insuffisance rénale chronique et comparé à deux autres approches: l’utilisation de modèles statistiques empiriques et celle d’un réseau Bayésien dynamique. Les calibrations des paramètres ont été effectuées par chaînes de Markov simulées MCMC avec le logiciel GNU MCSim avec une quantification des incertitudes associées aux prédictions. Même si la mise au point du modèle SB a été une tâche complexe, la compréhension de la biologie qu’offre ce modèle n’est pas accessible aux deux autres approches. Nous avons aussi évalué les interactions entre Nrf2 et deux autres voies de toxicité, AhR et ATF4, dans le cadre d’une analyse utilisant des données de toxico-génomique provenant de trois projets différents. Les résultats de cette dernière analyse suggèrent d’ajouter au modèle SB de Nrf2 la co-activation par AhR de plusieurs gènes (par exemple, HMOX1, SRXN1 et GCLM) ainsi que d’associer (au moins partiellement) à ce modèle la voie ATF4. Malgré leur complexité, les modèles SB constituent un investissement intéressant pour le développement de la toxicologie prédictive.","New understanding of biology shows more and more that the mechanisms that underlie toxicity are complex and involve multiple biological processes and pathways. Adverse outcome pathways (AOPs) and systems biology (SB) can be appropriate tools for studying toxicology at this level of complexity. This PhD thesis focuses on the elaboration of a SB model of the role of the Nrf2 pathway in the control of oxidative stress. The model’s calibration with experimental data (obtained with RPTEC/TERT1 renal cells exposed to various doses of potassium bromate) comprised several rounds of hypotheses stating/verification, through which new reactions were progressively added to the model. Some of these new hypotheses (e.g., direct action of potassium bromate on DCF, bleaching of DCF with time, etc.) could be confirmed by future experiments. Considered in a wider framework, this SB model was then evaluated and compared to two other computational models (i.e., an empirical dose-response statistical model and a dynamic Bayesian model) for the quantification of a ‘chronic kidney disease’ AOP. All parameter calibrations were done by MCMC simulations with the GNU MCSim software with a quantification of uncertainties associated with predictions. Even though the SB model was indeed complex to conceive, it offers insight in biology that the other approaches could not afford. In addition, using multiple toxicogenomic databases; interactions and cross-talks of the Nrf2 pathway with two other toxicity pathways (i.e., AhR and ATF4) were examined. The results of this last analysis suggest adding new AhR contribution to the control of some of the Nrf2 genes in our SB model (e.g., HMOX1, SRXN1 and GCLM), and integrating in it description of the ATF4 pathway (partially at least). Despites their complexity, precise SB models are precious investments for future developments in predictive toxicology."
tel-00682495,"Les domaines protéiques sont des segments indépendants qui sont présents de façon récurrente dans plusieurs protéines. L'arrangement combinatoire de ces domaines est à l'origine de la diversité structurale et fonctionnelle des protéines. Plusieurs méthodes ont été développées pour permettre d'inférer la décomposition des protéines en domaines ainsi que la classification de ces domaines en familles. L'une de ces méthodes, MkDom2, permet l'inférence des familles de domaines de façon gloutonne. les familles sont inférées l'une après l'autre de façon a créer un découpage des protéines en arrangement de domaines et un classement de ces domaines en familles. MkDom2 est a l'origine de la base de données ProDom et est essentiel pour sa mise à jour. L'augmentation exponentielle du nombre de séquences analyser a rendue obsolète cette méthode qui nécessite désormais plusieurs années de calcul pour calculer ProDom.  nous proposons un nouvel algorithme, MPI_MkDom2, permettant l'exploration simultanée de plusieurs familles de domaines sur une plate-forme de calcul distribué. MPI_MkDom2 est un algorithme distribué et asynchrone gérant l'équilibrage de charge pour une utilisation efficace de la plate-forme de calcul; il assure la création d'un découpage non-recouvrant de l'ensemble des protéines. Une mesure de proximité entre les classifications de domaines est définie afin d'évaluer l'effet du parallélisme sur le partitionnement produit. Nous proposons un second algorithme MPI_MkDom3. permettant le calcul simultanée d'une classification des domaines protéiques et des protéines en familles partageant le même arrangement en domaines.","Protein domains are recurring independent segment of proteins. The combinatorial arrangement of domains is at the root of the functional and structural diversity of proteins. Several methods have been developed to infer protein domain decomposition and domain family clustering from sequence  information alone. MkDom2 is one of those methods. Mkdom2 infers domain families in a greedy fashion. Families are inferred one after the other in order to create a delineation of domains on proteins and a clustering of those domains in families. MkDom2 is instrumental in the building of the ProDom database. The exponential growth of the number of sequences to process as rendered MkDom2 obsolete, it would now take several years to compute a newrelease of ProDom. We present a nous algorithm, MPI_MkDom2, allowing computation of several families at once across a distributed computing platform. MPI_MkDom2 is an asynchronous distributed algorithm managing load balancing to ensure efficient platform usage; it ensures the creation of a non-overlapping partitioning of the whole protein set. A new proximity measure is defined to  assess the effect of the parallel computation on the result. We also Propose a second algorithm, MPI_mkDom3, allowing the simultaneous computation of a clustering of protein domains as well as full protein sharing the same domain decomposition."
tel-02476370,"La convergence phénotypique, c’est-à-dire l’acquisition indépendante de caractères similaires par des espèces différentes, est omniprésente dans la nature et a été souvent étudiée. Mais ce processus évolutif n’est pas bien compris. Par exemple, de nombreux chercheurs cherchent à comprendre s’il existe des bases génétiques convergentes sous-jacentes à ces convergences phénotypiques.Quelques substitutions convergentes corrélées à un phénotype convergent ont été décrites dans la littérature, mais il existe peu d’études à l’échelle génomique. Ceci peut s’expliquer par deux problèmes méthodologiques : 1/ D’une part, la difficulté de créer des jeux de données multi-espèces pour des analyses comparatives. 2/ D’autre part, le manque de méthodes dédiées à la détection de la convergence à l’échelle génomique.Au cours de ma thèse, j’ai proposé des solutions à ces deux défis. Dans un premier temps, j’ai créé un programme (CAARS) permettant d’automatiser l’assemblage de jeux de données composés de familles d’orthologues à partir de données RNA-Seq. Puis, j’ai créé un outil (PCOC) pour étudier les substitutions convergentes au sein de séquences codantes, basé sur l’identification de changements de profils d’acides aminés. Ces outils ont été développés dans un souci de reproductibilité et de facilité d’utilisation. J’ai ensuite étudié la capacité de différentes méthodes, dont PCOC, à détecter des substitutions convergentes en présence de facteurs confondants. Enfin, j’ai appliqué ces méthodes à un cas biologique où j’ai cherché à caractériser les bases génomiques de l’adaptation aux milieux arides chez les rongeurs.","Phenotypic convergence, the independent acquisition of similar characters by different species,is widespread in nature and has been extensively studied. But this evolutionary process is not well understood. For example, many researchers seek to understand whether there are convergent genetic bases underlying these phenotypic convergences.Some convergent substitutions correlated with a convergent phenotype have been described in the literature, but there are few studies at the genome scale. This can be explained by two methodological problems : 1 / On the one hand, the difficulty of creating multi-species datasets for comparative analyses. 2 / On the other hand, the lack of dedicated methods to detect convergence at the genomic scale.During my thesis, I proposed solutions to these two challenges. As a first step, I created a program (CAARS) to automate the assembly of datasets composed of orthologous families from RNA-Seq data. Then I created a tool (PCOC) to study convergent substitutions within coding sequences, based on the identification of amino acid profile changes rather than strict amino acid changes. These tools have been developed for the sake of reproducibility and ease of use. I then studied the ability of different methods, including PCOC, to detect convergent substitutions in the presence of confounding factors. Finally, I applied these methods to a biological case where I sought to characterize the genomic bases of adaptation to arid environments in rodents."
tel-04068705,"
Chaque chromosome d’organisme di- ou polyploïde présente plusieurs haplotypes, qui sont fortement similaires mais divergent sur un certain nombre de positions. Cependant, la majorité des génomes de référence ne renseignent qu’une seule séquence pour chaque chromosome, et ne reflètent donc pas la réalité biologique. Or, il est crucial d’avoir accès à ces informations, qui sont utiles en médecine, en agronomie ou encore dans l’étude des populations. Le récent développement des technologies de troisième génération, notamment des séquenceurs PacBio et Oxford Nanopore Technologies, a permis la production de lectures longues facilitant la reconstruction des séquences d’haplotypes. Il existe pour cela des méthodes bioinformatiques, mais elles ne fournissent qu’une unique solution. Cette thèse propose une méthode de phasage d’haplotype basée sur la recherche de composantes connexes dans un graph de similarité des lectures pour identifier les haplotypes. Cette méthode utilise l’Answer Set Programming pour travailler sur l’ensemble des solutions optimales. L’algorithme de phasage a permis de reconstruire les haplotypes du rotifère diploïde Adineta vaga.
","
Each chromosome of a di- or polyploid organism has several haplotypes, which are highly similar but diverge on a certain number of positions. However, most of the reference genomes only provide a single sequence for each chromosome, and therefore do not reflect the biological reality. Yet, it is crucial to have access to this information, which is useful in medicine, agronomy and population studies. The recent development of third generation technologies, especially PacBio and Oxford Nanopore Technologies sequencers, has allowed for the production of long reads that facilitate haplotype sequence reconstruction. Bioinformatics methods exist for this task, but they provide only a single solution. This thesis introduces an approach for haplotype phasing  based on the search of connected components in a read similarity graph to identify haplotypes. This method uses Answer Set Programming to work on the set of optimal solutions. This phasing algorithm has been used to reconstruct haplotypes of the diploid rotifer Adineta vaga.
"
tel-03902489,"Legionella pneumophila est une bactérie intracellulaire qui sécrète plus de 300 protéines dans la cellule hôte. L'un de ces effecteurs, RomA, s'est avéré modifier directement la chromatine de l'hôte en méthylant la lysine 14 de l'Histone H3(H3K14), un résidu généralement acétylé. Afin de savoir comment la désacétylation de cette marque pourrait se produire pendant l'infection, une recherche bioinformatique approfondie du genome de L. pneumophila a conduit à l'identification d'une protéine qui devrait coder pour une histone désacétylase (HDAC), nommée LphD. Au cours de ma thèse j'ai montré que LphD est sécrétée dans la cellule hôte lors de l'infection et cible spécifiquement le noyau, où elle présente une activité désacétylase avec une efficacité élevée pour H3K14. En effet, j'ai montré que LphD désacétyle H3K14 pendant l'infection, et que son activité influence directement les niveaux de méthylation de H3K14 dans les cellules infectées, mettant en évidence une synergie entre LphD et RomA. J'ai également pu montrer que LphD et RomA ciblent un complexe de liaison à la chromatine endogène contrôlant l'état d'acétylation de H3K14 (HBO1/KAT7). Des RNAseq de cellules infectées soit par des bactéries de type sauvage, soit par le knockout LphD et RomA, ont mis en évidence l'influence de ces effecteurs bactériens sur le paysage transcriptionnel de l'hôte. Le modèle que je propose est que les deux effecteurs sécrétés, LphD et RomA, travaillent ensemble pour détourner la machinerie épigénétique de l'hôte afin de faciliter la subversion de la réponse immunitaire et favoriser la réplication intracellulaire de L. pneumophila.","Legionella pneumophila is an intracellular bacterium that secretes over 300 proteins in the hostcell through a specialized type 4 secretion system. One of these secreted L. pneumophila effectors, RomA, was shown to directly modify the host chromatin by methylating lysine 14 of Histone H3 (H3K14), a usually acetylated residue. This led to the question how deacetylation of this mark might happen during infection. An in-depth bioinformatics search led to the identification of a protein predicted to code for a histone deacetylase (HDAC), named LphD. During my PhD, I showed that LphD is secreted into the host cell during infection and specifically targets the host cell nucleus, where it exhibits deacetylase activity with high efficiency for H3K14. Indeed, I showed that LphD deacetylates the H3K14 residue also during infection, and that the activity of LphD directly influences the levels of H3K14 methylation in infected cells, highlighting the synergy between LphD and RomA. I also could show that LphD and RomA target an endogenous chromatin binding complex, named HBO1, that contains the histone acetyltransferase KAT7, controlling the acetylation status of H3K14. RNAseq of cells infected with either wild type bacteria or the LphD and RomA knockout assessed the influence of these bacterial effectors on the host’s transcriptional landscape, in particular on genes related to immune response. The model I propose is that the two secreted effectors, LphD and RomA, work together to hijack the host’s epigenetic machinery in order to facilitate the subversion of the host immune response and promotes the intracellular replication of L. pneumophila."
tel-00653203,"
Les architectures de calcul haute performance de nos jours sont des architectures hiérarchiques et hétérogènes: hiérarchiques car elles sont composées d’une hiérarchie de mémoire, une mémoire distribuée entre les noeuds et une mémoire partagée entre les coeurs d’un même noeud. Hétérogènes due à l’utilisation des processeurs spécifiques appelés Accélérateurs tel que le processeur CellBE d’IBM et les CPUs de NVIDIA. La complexité de maîtrise de ces architectures est double. D’une part, le problème de programmabilité: la programmation doit rester simple, la plus proche possible de la programmation séquentielle classique et indépendante de l’architecture cible. D’autre part, le problème d’efficacité: les performances doivent êtres proches de celles qu’obtiendrait un expert en écrivant le code à la main en utilisant des outils de bas niveau. Dans cette thèse, nous avons proposé une plateforme de développement pour répondre à ces problèmes. Pour cela, nous proposons deux outils : BSP++ est une bibliothèque générique utilisant des templates C++ et BSPGen est un framework permettant la génération automatique de code hybride à plusieurs niveaux de la hiérarchie (MPI+OpenMP ou MPI + Cell BE). Basée sur un modèle hiérarchique, la bibliothèque BSP++ prend les architectures hybrides comme cibles natives. Utilisant un ensemble réduit de primitives et de concepts intuitifs, BSP++ offre une simplicité d'utilisation et un haut niveau d' abstraction de la machine cible. Utilisant le modèle de coût de BSP++, BSPGen estime et génère le code hybride hiérarchique adéquat pour une application donnée sur une architecture cible. BSPGen génère un code hybride à partir d'une liste de fonctions séquentielles et d'une description de l'algorithme parallèle. Nos outils ont été validés sur différentes applications de différents domaines allant de la vérification et du calcul scientifique au traitement d'images en passant par la bioinformatique. En utilisant une large sélection d’architecture cible allant de simple machines à mémoire partagée au machines Petascale en passant par les architectures hétérogènes équipées d’accélérateurs de type Cell BE.
","
Today’s high-performance computing architectures are hierarchical and heterogeneous. With a hierarchy of memory, they are composed of distributed memory between nodes and shared memory between cores of the same node. heterogeneous due to the use of specific processors called accelerators such as the CellBE IBM processor and/or NVIDIA GPUs. The programming complexity of these architectures is twofold. On the one hand, the problem of programmability: the programming should be simple, as close as possible to the conventional sequential programming and independent of the target architecture. On the other hand, the problem of efficiency: performance should be similar to those obtained by a expert in writing code by hand using low-level tools. In this thesis, we proposed a development platform to address these problems. For this, we propose two tools: BSP++ is a generic library using C++ templates and BSPGen is a framework for the automatic hybrid multi-level hierarchy (MPI + OpenMP or MPI + Cell BE) code generation.Based on a hierarchical model, the BSP++ library takes the hybrid architectures as native targets. Using a small set of primitives and intuitive concepts, BSP++ provides a simple way to use and a high level of abstraction of the target machine. Using the cost model of BSP++, BSPGen predicts and generates the appropriate hierarchical hybrid code for a given application on target architecture. BSPGen generates hybrid code from a sequential list of functions and a description of the parallel algorithm.Our tools have been validated with various applications in different fields ranging from verification to scientific computing and image processing through bioinformatics. Using a wide selection of target architecture ranging from simple shared memory machines to Petascale machines through the heterogeneous architectures equipped with Cell BE accelerators.
"
tel-01428885,"En bio-informatique, comprendre comment les molécules d’ADN ont évolué au cours du temps reste un problème ouvert etcomplexe. Des algorithmes ont été proposés pour résoudre ce problème, mais ils se limitent soit à l’évolution d’un caractèredonné (par exemple, un nucléotide précis), ou se focalisent a contrario sur de gros génomes nucléaires (plusieurs milliardsde paires de base), ces derniers ayant connus de multiples événements de recombinaison – le problème étant NP completquand on considère l’ensemble de toutes les opérations possibles sur ces séquences, aucune solution n’existe à l’heureactuelle. Dans cette thèse, nous nous attaquons au problème de reconstruction des séquences ADN ancestrales en nousfocalisant sur des chaînes nucléotidiques de taille intermédiaire, et ayant connu assez peu de recombinaison au coursdu temps : les génomes de chloroplastes. Nous montrons qu’à cette échelle le problème de la reconstruction d’ancêtrespeut être résolu, même quand on considère l’ensemble de tous les génomes chloroplastiques complets actuellementdisponibles. Nous nous concentrons plus précisément sur l’ordre et le contenu ancestral en gènes, ainsi que sur lesproblèmes techniques que cette reconstruction soulève dans le cas des chloroplastes. Nous montrons comment obtenirune prédiction des séquences codantes d’une qualité telle qu’elle permette ladite reconstruction, puis comment obtenir unarbre phylogénétique en accord avec le plus grand nombre possible de gènes, sur lesquels nous pouvons ensuite appuyernotre remontée dans le temps – cette dernière étant en cours de finalisation. Ces méthodes, combinant l’utilisation d’outilsdéjà disponibles (dont la qualité a été évaluée) à du calcul haute performance, de l’intelligence artificielle et de la biostatistique,ont été appliquées à une collection de plus de 450 génomes chloroplastiques.","In Bioinformatics, understanding how DNA molecules have evolved over time remains an open and complex problem.Algorithms have been proposed to solve this problem, but they are limited either to the evolution of a given character (forexample, a specific nucleotide), or conversely focus on large nuclear genomes (several billion base pairs ), the latter havingknown multiple recombination events - the problem is NP complete when you consider the set of all possible operationson these sequences, no solution exists at present. In this thesis, we tackle the problem of reconstruction of ancestral DNAsequences by focusing on the nucleotide chains of intermediate size, and have experienced relatively little recombinationover time: chloroplast genomes. We show that at this level the problem of the reconstruction of ancestors can be resolved,even when you consider the set of all complete chloroplast genomes currently available. We focus specifically on the orderand ancestral gene content, as well as the technical problems this raises reconstruction in the case of chloroplasts. Weshow how to obtain a prediction of the coding sequences of a quality such as to allow said reconstruction and how toobtain a phylogenetic tree in agreement with the largest number of genes, on which we can then support our back in time- the latter being finalized. These methods, combining the use of tools already available (the quality of which has beenassessed) in high performance computing, artificial intelligence and bio-statistics were applied to a collection of more than450 chloroplast genomes."
